angle_deg,rate_dps,wheel_rpm,g_crit,holds_g28,sat_pct_g28
9.0,50,-200,28.28,1,35.2
9.0,50,-150,27.97,0,38.0
9.0,50,-100,27.97,1,35.8
9.0,50,-50,28.28,1,33.6
9.0,50,0,28.28,1,32.4
9.0,50,50,27.66,0,35.6
9.0,50,100,27.03,0,38.8
9.0,50,150,26.72,0,40.8
9.0,60,-350,30.47,1,0.0
9.0,60,-300,30.47,1,0.0
9.0,60,-250,30.78,1,0.0
9.0,60,-200,30.16,1,0.0
9.0,60,-150,29.53,1,0.0
9.0,60,-100,29.84,1,0.0
9.0,60,-50,29.84,1,2.0
9.0,60,0,29.84,1,4.2
9.0,60,50,28.91,1,12.4
9.0,60,100,28.28,1,33.0
9.0,60,150,27.97,1,37.0
9.0,70,-350,32.03,1,0.0
9.0,70,-300,31.72,1,0.0
9.0,70,-250,31.41,1,0.0
9.0,70,-200,31.09,1,0.0
9.0,70,-150,31.09,1,1.6
9.0,70,-100,31.09,1,3.0
9.0,70,-50,31.09,1,5.4
9.0,70,0,31.09,1,7.4
9.0,70,50,30.47,1,9.2
9.0,70,100,29.84,1,11.6
9.0,70,150,29.53,1,15.0
9.0,80,-350,33.28,1,0.0
9.0,80,-300,32.66,1,0.0
9.0,80,-250,32.34,1,1.4
9.0,80,-200,32.34,1,2.6
9.0,80,-150,32.34,1,4.0
9.0,80,-100,32.34,1,6.6
9.0,80,-50,32.34,1,8.8
9.0,80,0,32.03,1,11.6
9.0,80,50,32.03,1,14.2
9.0,80,100,31.09,1,18.2
9.0,80,150,30.47,1,25.0
9.0,90,-350,34.22,1,1.0
9.0,90,-300,33.59,1,2.2
9.0,90,-250,33.91,1,3.6
9.0,90,-200,33.59,1,5.0
9.0,90,-150,33.59,1,7.4
9.0,90,-100,33.59,1,10.2
9.0,90,-50,33.28,1,13.6
9.0,90,0,32.97,1,18.6
9.0,90,50,32.66,1,25.2
9.0,90,100,19.0,1,38.6
9.0,90,150,19.0,0,51.4
