spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
150,100,5,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,200,5,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,350,5,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,500,5,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,20,10,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,50,10,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,100,10,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,200,10,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,350,10,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,500,10,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
150,20,15,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,50,15,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,100,15,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,200,15,0.5,0.001225,half_20ms,0.18,False,0,0.19226835329464897,,,0.054,,,True,FALLEN
